127.0.0.1 - - [04/Jul/2023:12:29:47 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:31:01 +0000] "GET /medicare/json/data/admin/all/products?_=1688473861755 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:31:01 +0000] "GET /medicare/resources/images/PRDAC5E7711A7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:31:01 +0000] "GET /medicare/resources/images/PRD73B46CAF68.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:31:16 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:31:16 +0000] "GET /medicare/json/data/admin/all/products?_=1688473876316 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:31:16 +0000] "GET /medicare/resources/images/PRDAC5E7711A7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:31:16 +0000] "GET /medicare/resources/images/PRD73B46CAF68.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:13 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:14 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:17 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:20 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:20 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:20 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:20 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:22 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:22 +0000] "GET /medicare/json/data/admin/all/products?_=1688473942664 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:22 +0000] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:22 +0000] "GET /medicare/resources/images/PRD73B46CAF68.jpg HTTP/1.1" 200 9083
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:22 +0000] "GET /medicare/resources/images/PRDAC5E7711A7.jpg HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:28 +0000] "GET /medicare/manage/1/product HTTP/1.1" 200 11440
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:29 +0000] "GET /medicare/json/data/admin/all/products?_=1688473948982 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:39 +0000] "POST /medicare/manage/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:39 +0000] "GET /medicare/manage/product?success=product HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:39 +0000] "GET /medicare/json/data/admin/all/products?_=1688473959474 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:39 +0000] "GET /medicare/resources/images/PRDAC5E7711A7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:39 +0000] "GET /medicare/resources/images/PRD73B46CAF68.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:46 +0000] "GET /medicare/manage/product/1/activation HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:32:55 +0000] "GET /medicare/manage/product/1/activation HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:03 +0000] "GET /medicare/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:03 +0000] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:06 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:06 +0000] "GET /medicare/ HTTP/1.1" 200 11073
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:06 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:06 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:08 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7553
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:09 +0000] "GET /medicare/json/data/all/products?_=1688473988979 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:09 +0000] "GET /medicare/resources/images/PRDAC5E7711A7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:09 +0000] "GET /medicare/resources/images/PRD73B46CAF68.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:18 +0000] "GET /medicare/cart/add/2/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:18 +0000] "GET /medicare/cart/show?result=updated HTTP/1.1" 200 9400
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:20 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7553
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:20 +0000] "GET /medicare/json/data/all/products?_=1688474000710 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:34 +0000] "GET /medicare/cart/add/5/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:34 +0000] "GET /medicare/cart/show?result=updated HTTP/1.1" 200 9400
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:36 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7553
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:36 +0000] "GET /medicare/json/data/all/products?_=1688474016234 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:36 +0000] "GET /medicare/resources/images/PRD73B46CAF68.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:36 +0000] "GET /medicare/resources/images/PRDAC5E7711A7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:46 +0000] "GET /medicare/cart/add/8/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:46 +0000] "GET /medicare/cart/show?result=added HTTP/1.1" 200 10724
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:49 +0000] "GET /medicare/cart/validate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:50 +0000] "GET /medicare/cart/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:33:51 +0000] "GET /medicare/cart/checkout?execution=e1s1 HTTP/1.1" 200 6319
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:34:06 +0000] "POST /medicare/cart/checkout?execution=e1s1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:34:06 +0000] "GET /medicare/cart/checkout?execution=e1s2 HTTP/1.1" 200 6619
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:34:16 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:43:09 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:43:09 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:44:00 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:44:00 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:47:20 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay/book:apikey/PMAK-64a414ad00cbca0038de886b-1d28697c3c68a5a19cdb41d1b31b75248c HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:12:47:20 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:07:17 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:07:17 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:11:55 +0000] "GET /medicare/cart/checkout?execution=e1s2&_eventId_pay HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:11:55 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/ HTTP/1.1" 200 10335
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/css/bootstrap-readable-theme.css HTTP/1.1" 200 124547
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/css/dataTables.bootstrap.css HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/css/myapp.css HTTP/1.1" 200 3875
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/js/productsController.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/js/jquery.js HTTP/1.1" 200 95788
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/js/jquery.validate.js HTTP/1.1" 200 47689
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/js/angular.js HTTP/1.1" 200 1249863
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/js/jquery.dataTables.js HTTP/1.1" 200 448547
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/js/dataTables.bootstrap.js HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/js/myapp.js HTTP/1.1" 200 10685
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/images/banner1.jpg HTTP/1.1" 200 44759
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/images/banner2.jpg HTTP/1.1" 200 32874
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/images/banner3.jpg HTTP/1.1" 200 44384
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/images/banner4.jpg HTTP/1.1" 200 20494
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:08 +0000] "GET /medicare/resources/images/pre-loader.gif HTTP/1.1" 200 59977
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /medicare/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /medicare/resources/images/PRDABC123DEFX.jpg HTTP/1.1" 200 14444
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /medicare/resources/images/PRDDEF123GHIX.jpg HTTP/1.1" 200 230763
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /medicare/resources/images/PRDDEF123DEFX.jpg HTTP/1.1" 200 17459
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /medicare/resources/images/PRDMNO123PQRX.jpg HTTP/1.1" 200 145629
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /medicare/resources/images/PRDPQR123WGTX.jpg HTTP/1.1" 200 33392
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /medicare/resources/images/PRD73B46CAF68.jpg HTTP/1.1" 200 9083
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:09 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:12 +0000] "GET /medicare/login HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:15 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:15 +0000] "GET /medicare/ HTTP/1.1" 200 10813
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:15 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:15 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:17 +0000] "GET /medicare/manage/product HTTP/1.1" 200 11362
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:17 +0000] "GET /medicare/json/data/admin/all/products?_=1688476757867 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:18 +0000] "GET /medicare/resources/images/PRDAC5E7711A7.jpg HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:18 +0000] "GET /medicare/resources/images/PRDABCXYZDEFX.jpg HTTP/1.1" 200 28457
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:24 +0000] "GET /medicare/manage/1/product HTTP/1.1" 200 11440
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:24 +0000] "GET /medicare/json/data/admin/all/products?_=1688476764150 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:34 +0000] "POST /medicare/manage/product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:34 +0000] "GET /medicare/manage/product?success=product HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:34 +0000] "GET /medicare/json/data/admin/all/products?_=1688476774606 HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:41 +0000] "GET /medicare/manage/product/1/activation HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:51 +0000] "GET /medicare/manage/product/1/activation HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:58 +0000] "GET /medicare/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:19:58 +0000] "GET /medicare/login?logout HTTP/1.1" 200 4099
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:20:01 +0000] "POST /medicare/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:20:01 +0000] "GET /medicare/ HTTP/1.1" 200 11071
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:20:01 +0000] "GET /medicare/json/data/mv/products HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:20:01 +0000] "GET /medicare/json/data/mp/products HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [04/Jul/2023:13:20:04 +0000] "GET /medicare/show/all/products HTTP/1.1" 200 7551
